"MISSING_FROM","FROM_ADDR_WS","TVD_SPACE_RATIO","LOTS_OF_MONEY","T_FILL_THIS_FORM_SHORT","SPAM"
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,0,0,1,0
1,0,0,0,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,1,1
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,1
1,0,0,1,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,0,0,0,1,0
1,0,0,1,0,0
1,0,1,0,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,1,0,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,0,1,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,1,1
1,0,0,0,1,0
1,0,0,0,1,1
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,1,0,0,0
1,0,0,1,1,1
1,0,0,1,0,0
0,1,0,0,1,0
1,0,0,0,1,0
0,1,0,1,0,0
1,0,1,0,0,0
1,0,0,0,1,1
1,0,0,1,0,0
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,0,1,1
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,0,1,1
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,1,1,1
0,1,0,1,1,1
1,0,0,0,1,1
1,0,1,0,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,1,0,0
1,0,0,0,1,1
1,0,0,0,1,0
1,0,0,1,0,0
1,0,0,1,0,1
1,0,0,1,0,0
1,0,0,0,1,0
0,1,0,1,0,0
1,0,0,0,1,1
1,0,1,0,0,0
1,0,0,1,0,0
0,1,0,1,1,1
1,0,1,0,0,0
1,0,1,0,0,0
1,0,0,1,0,0
1,0,0,0,1,0
1,0,1,0,0,0
0,1,0,1,0,0
1,0,0,0,1,0
1,0,0,1,0,0
1,0,0,0,1,1
1,0,0,0,1,1
1,0,0,1,1,1
1,0,1,0,0,0
1,0,0,1,0,0
0,1,0,1,0,0
1,0,0,1,0,0
1,0,0,1,1,1
1,0,1,0,0,0
1,0,0,1,0,1
1,0,0,1,1,1
1,0,0,0,1,1
1,0,0,0,1,1
