season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,hour,day,month
1,0,0,1,9.84,14.395,81,0.0,16,0,1,1
1,0,0,1,9.02,13.635,80,0.0,40,1,1,1
1,0,0,1,9.02,13.635,80,0.0,32,2,1,1
1,0,0,1,9.84,14.395,75,0.0,13,3,1,1
1,0,0,1,9.84,14.395,75,0.0,1,4,1,1
1,0,0,2,9.84,12.88,75,6.0032,1,5,1,1
1,0,0,1,9.02,13.635,80,0.0,2,6,1,1
1,0,0,1,8.2,12.88,86,0.0,3,7,1,1
1,0,0,1,9.84,14.395,75,0.0,8,8,1,1
1,0,0,1,13.12,17.425,76,0.0,14,9,1,1
1,0,0,1,15.58,19.695,76,16.9979,36,10,1,1
1,0,0,1,14.76,16.665,81,19.0012,56,11,1,1
1,0,0,1,17.22,21.21,77,19.0012,84,12,1,1
1,0,0,2,18.86,22.725,72,19.9995,94,13,1,1
1,0,0,2,18.86,22.725,72,19.0012,106,14,1,1
1,0,0,2,18.04,21.97,77,19.9995,110,15,1,1
1,0,0,2,17.22,21.21,82,19.9995,93,16,1,1
1,0,0,2,18.04,21.97,82,19.0012,67,17,1,1
1,0,0,3,17.22,21.21,88,16.9979,35,18,1,1
1,0,0,3,17.22,21.21,88,16.9979,37,19,1,1
1,0,0,2,16.4,20.455,87,16.9979,36,20,1,1
1,0,0,2,16.4,20.455,87,12.998,34,21,1,1
1,0,0,2,16.4,20.455,94,15.0013,28,22,1,1
1,0,0,2,18.86,22.725,88,19.9995,39,23,1,1
1,0,0,2,18.86,22.725,88,19.9995,17,0,2,1
1,0,0,2,18.04,21.97,94,16.9979,17,1,2,1
1,0,0,2,17.22,21.21,100,19.0012,9,2,2,1
1,0,0,2,18.86,22.725,94,12.998,6,3,2,1
1,0,0,2,18.86,22.725,94,12.998,3,4,2,1
1,0,0,3,17.22,21.21,77,19.9995,2,6,2,1
1,0,0,2,16.4,20.455,76,12.998,1,7,2,1
1,0,0,3,16.4,20.455,71,15.0013,8,8,2,1
1,0,0,2,15.58,19.695,76,15.0013,20,9,2,1
1,0,0,2,14.76,17.425,81,15.0013,53,10,2,1
1,0,0,2,14.76,16.665,71,16.9979,70,11,2,1
1,0,0,2,14.76,16.665,66,19.9995,93,12,2,1
1,0,0,2,14.76,17.425,66,8.9981,75,13,2,1
1,0,0,3,14.76,17.425,76,12.998,59,14,2,1
1,0,0,3,13.94,16.665,81,11.0014,74,15,2,1
1,0,0,3,13.94,16.665,71,11.0014,76,16,2,1
1,0,0,1,13.94,16.665,57,12.998,65,17,2,1
1,0,0,2,14.76,16.665,46,22.0028,53,18,2,1
1,0,0,1,13.12,14.395,42,30.0026,30,19,2,1
1,0,0,1,12.3,13.635,39,23.9994,22,20,2,1
1,0,0,1,10.66,11.365,44,22.0028,31,21,2,1
1,0,0,1,9.84,10.605,44,19.9995,9,22,2,1
1,0,0,1,9.02,11.365,47,11.0014,8,23,2,1
1,0,1,1,9.02,9.85,44,23.9994,5,0,3,1
1,0,1,1,8.2,8.335,44,27.9993,2,1,3,1
1,0,1,1,6.56,6.82,47,26.0027,1,4,3,1
1,0,1,1,6.56,6.82,47,19.0012,3,5,3,1
1,0,1,1,5.74,5.305,50,26.0027,30,6,3,1
1,0,1,1,5.74,6.82,50,12.998,64,7,3,1
1,0,1,1,5.74,6.06,50,19.0012,154,8,3,1
1,0,1,1,6.56,6.82,43,26.0027,88,9,3,1
1,0,1,1,7.38,8.335,43,16.9979,44,10,3,1
1,0,1,1,8.2,9.09,40,22.0028,51,11,3,1
1,0,1,1,9.02,10.605,35,19.9995,61,12,3,1
1,0,1,1,9.84,10.605,35,19.0012,61,13,3,1
1,0,1,1,10.66,12.12,30,19.0012,77,14,3,1
1,0,1,1,10.66,12.12,30,16.9979,72,15,3,1
1,0,1,1,10.66,12.12,30,16.9979,76,16,3,1
1,0,1,1,9.84,11.365,30,15.0013,157,17,3,1
1,0,1,1,9.84,12.88,32,7.0015,157,18,3,1
1,0,1,1,8.2,12.88,47,0.0,110,19,3,1
1,0,1,1,8.2,11.365,47,7.0015,52,20,3,1
1,0,1,1,7.38,9.85,64,8.9981,52,21,3,1
1,0,1,1,5.74,7.575,69,8.9981,20,22,3,1
1,0,1,1,7.38,10.605,55,7.0015,12,23,3,1
1,0,1,1,6.56,9.09,55,7.0015,5,0,4,1
1,0,1,1,6.56,9.09,59,7.0015,2,1,4,1
1,0,1,1,5.74,7.575,63,8.9981,1,2,4,1
1,0,1,1,5.74,9.09,63,6.0032,2,4,4,1
1,0,1,1,4.92,7.575,68,7.0015,4,5,4,1
1,0,1,1,4.92,7.575,74,7.0015,36,6,4,1
1,0,1,1,4.92,7.575,74,8.9981,94,7,4,1
1,0,1,1,5.74,7.575,69,11.0014,179,8,4,1
1,0,1,1,6.56,7.575,64,15.0013,100,9,4,1
1,0,1,2,6.56,6.82,69,22.0028,42,10,4,1
1,0,1,1,9.02,10.605,51,19.9995,57,11,4,1
1,0,1,1,9.02,11.365,51,11.0014,78,12,4,1
1,0,1,1,9.84,11.365,56,12.998,97,13,4,1
1,0,1,1,10.66,12.88,52,15.0013,63,14,4,1
1,0,1,1,11.48,13.635,52,16.9979,65,15,4,1
1,0,1,1,12.3,14.395,49,16.9979,83,16,4,1
1,0,1,1,11.48,13.635,48,15.0013,212,17,4,1
1,0,1,1,10.66,12.88,48,12.998,182,18,4,1
1,0,1,1,9.84,12.88,48,7.0015,112,19,4,1
1,0,1,1,9.84,12.88,48,7.0015,54,20,4,1
1,0,1,1,9.02,13.635,64,0.0,48,21,4,1
1,0,1,1,9.02,12.88,64,6.0032,35,22,4,1
1,0,1,1,8.2,11.365,69,6.0032,11,23,4,1
1,0,1,1,8.2,12.88,64,0.0,6,0,5,1
1,0,1,1,6.56,9.85,74,6.0032,6,1,5,1
