datesold,price,building_year,bedrooms,postcode,area
01-April-2016,508400,1972,3,2614,Macquarie
01-April-2016,367200,1967,3,2906,Conder
01-April-2016,403600,1976,3,2615,Fraser
01-April-2016,439250,1976,3,2906,Gordon
01-April-2016,472100,1926,4,2902,Kambah
01-April-2016,480500,1966,3,2611,Weston
01-April-2016,471700,1967,4,2615,Melba
01-April-2016,511800,1925,3,2913,Nicholls
01-April-2016,552400,1991,4,2906,Gordon
01-April-2016,644000,1961,4,2611,Chapman
01-April-2016,690900,1979,4,2902,Kambah
01-April-2016,703600,1952,4,2902,Kambah
01-April-2016,735700,1922,4,2914,Forde
01-April-2016,817500,1991,4,2906,Banks
01-April-2016,501500,1964,2,2911,Mitchell
01-April-2016,1092400,1996,4,2602,Dickson
01-April-2016,1905400,2014,4,2600,Hmas Harman
01-April-2016,876100,2001,4,2913,Ginninderra Village
01-August-2016,531900,2014,3,2617,Evatt
01-August-2016,395500,2004,3,2902,Kambah
01-August-2016,398200,2005,3,2913,Palmerston
01-December-2016,1171200,2007,4,2605,Garran
01-December-2016,1024300,2006,4,2902,Kambah
01-December-2016,787800,1976,4,2611,Weston Creek
01-December-2016,602500,1978,3,2617,Belconnen
01-December-2016,599100,1919,3,2904,Monash
01-December-2016,500000,1990,3,2913,Franklin
01-December-2016,386600,1950,2,2604,Causeway
01-December-2016,443400,1990,3,2905,Isabella Plains
01-February-2016,772400,1987,4,2913,Ngunnawal
01-February-2016,468800,2000,3,2914,Amaroo
01-February-2016,498000,1991,4,2615,Fraser
01-February-2016,566600,2005,4,2914,Bonner
01-February-2016,552600,1977,4,2615,Melba
01-February-2016,671300,2006,4,2913,Nicholls
01-February-2016,735500,1996,4,2602,Dickson
01-February-2016,364600,1987,3,2913,Palmerston
01-February-2016,416900,1972,3,2615,Florey
01-July-2016,511100,1994,3,2905,Richardson
01-July-2016,931200,1990,3,2602,Dickson
01-July-2016,700000,2004,4,2913,Ginninderra Village
01-July-2016,684100,1977,5,2903,Erindale Centre
01-July-2016,671300,1990,3,2607,Farrer
01-July-2016,604700,1966,4,2906,Banks
01-July-2016,518300,1991,4,2615,Melba
01-July-2016,544600,1907,3,2914,Harrison
01-July-2016,409100,1994,3,2905,Isabella Plains
01-June-2016,379900,1969,3,2906,Conder
01-June-2016,889900,1939,4,2611,Pierces Creek
01-June-2016,863500,1957,4,2611,Mount Stromlo
01-June-2016,756600,1998,4,2911,Mitchell
01-June-2016,776890,1976,4,2611,Weston
01-June-2016,730100,2013,5,2914,Forde
01-June-2016,598600,1990,4,2913,Palmerston
01-June-2016,557700,1915,4,2914,Harrison
01-March-2016,680500,1910,4,2617,Evatt
01-March-2016,855300,1973,4,2611,Uriarra
01-March-2016,583800,1924,3,2617,Kaleen
01-March-2016,483600,1901,3,2904,Gowrie
01-March-2016,664500,1992,3,2602,Downer
01-March-2016,413800,1977,3,2905,Bonython
01-March-2016,396300,1994,3,2905,Gilmore
01-March-2016,781600,1998,4,2913,Ngunnawal
01-March-2016,469600,1927,3,2902,Kambah
01-March-2016,756900,1948,4,2914,Amaroo
01-November-2016,491900,2014,4,2904,Monash
01-November-2016,976700,1969,4,2603,Manuka
01-October-2016,413700,1977,3,2905,Theodore
01-October-2016,598900,1989,4,2615,Melba
01-October-2016,678300,1927,4,2914,Harrison
01-October-2016,742000,1905,4,2617,Belconnen
01-September-2016,893500,1909,4,2605,Hughes
01-September-2016,556400,1925,4,2904,Macarthur
01-September-2016,693900,1927,3,2605,Hughes
01-September-2016,507300,1924,3,2617,Bruce
02-April-2016,686900,1990,4,2607,Pearce
02-April-2016,1496900,1964,4,2603,Manuka
02-April-2016,684400,1927,3,2605,Curtin
02-April-2016,447400,1978,3,2905,Richardson
02-April-2016,707800,1997,3,2607,Farrer
02-April-2016,644000,1906,4,2617,Belconnen
02-April-2016,738000,1975,5,2615,Kippax
02-April-2016,732900,1974,4,2611,Fisher
02-April-2016,725400,1990,3,2607,Mawson
02-April-2016,805400,2012,4,2602,Downer
02-April-2016,873400,1957,4,2614,Weetangera
02-April-2016,902600,1990,3,2607,Isaacs
02-April-2016,924900,1977,3,2600,Yarralumla
02-April-2016,967700,1928,4,2605,Hughes
02-April-2016,1078700,1997,4,2602,Downer
02-August-2016,411900,1939,2,2911,Crace
02-August-2016,451300,2006,2,2612,Braddon
02-August-2016,541200,1977,3,2902,Kambah
02-August-2016,592100,1968,5,2905,Richardson
02-August-2016,612500,1925,4,2617,Lawson
02-August-2016,1738900,1984,4,2603,Forrest
02-August-2016,572000,1980,3,2606,Swinger Hill
02-December-2016,711000,1967,5,2605,Curtin
02-December-2016,944000,2006,4,2602,O'connor
02-December-2016,882000,1986,4,2617,Bruce
02-December-2016,858300,1998,4,2602,Lyneham
02-December-2016,1392600,1973,5,2611,Holder
02-December-2016,704000,1926,5,2914,Amaroo
02-December-2016,667900,1990,4,2904,Macarthur
02-December-2016,475900,1990,3,2905,Gilmore
02-December-2016,527600,1989,3,2615,Fraser
02-December-2016,511600,2003,3,2615,Dunlop
02-December-2016,492000,1969,3,2615,Charnwood
02-December-2016,464800,1977,3,2906,Banks
02-December-2016,463000,1985,3,2913,Franklin
02-December-2016,395800,2005,2,2913,Palmerston
02-December-2016,653600,1987,4,2905,Richardson
02-February-2016,443500,1976,3,2615,Kippax Centre
02-February-2016,965500,1969,4,2614,Aranda
02-February-2016,829800,1977,4,2904,Gowrie
02-February-2016,598500,1963,3,2611,Rivett
02-February-2016,505400,2008,4,2905,Gilmore
02-February-2016,438000,1976,3,2615,Dunlop
02-February-2016,439000,1978,3,2905,Calwell
02-February-2016,353600,1903,2,2614,Weetangera
02-January-2016,426900,2001,3,2905,Calwell
02-July-2016,518200,1991,2,2611,Pierces Creek
02-July-2016,650400,1906,4,2912,Administrative
02-July-2016,789900,1976,4,2611,Duffy
02-June-2016,446700,1975,3,2906,Gordon
02-June-2016,471300,1977,4,2906,Gordon
02-March-2016,1011000,1969,3,2602,Hackett
02-March-2016,368800,1925,1,2612,Reid
02-March-2016,961800,1928,4,2904,Monash
02-March-2016,602000,2005,4,2906,Conder
02-March-2016,783500,1988,3,2607,Mawson
02-March-2016,723800,1990,3,2606,O'malley
02-March-2016,659400,1910,4,2914,Amaroo
02-March-2016,647000,1961,4,2611,Brindabella
02-March-2016,636000,1910,4,2914,Harrison
02-March-2016,635000,1928,4,2904,Gowrie
02-March-2016,1517800,1941,4,2612,Campbell
02-March-2016,549700,1978,4,2906,Banks
02-March-2016,465500,1978,3,2905,Theodore
02-March-2016,420200,2003,3,2617,Giralang
02-March-2016,508600,1984,3,2611,Fisher
02-May-2016,1049900,1928,4,2605,Garran
02-May-2016,398400,2008,2,2617,Belconnen
02-May-2016,428000,2014,3,2904,Monash
02-May-2016,491000,1975,3,2611,Stirling
02-May-2016,502300,1968,3,2903,Erindale Centre
02-May-2016,511000,1997,4,2905,Chisholm
02-May-2016,579200,1990,4,2913,Nicholls
02-May-2016,607200,1927,3,2912,Administrative
02-May-2016,673300,1977,4,2904,Monash
02-May-2016,672400,2003,4,2913,Ginninderra Village
02-May-2016,713800,1926,4,2605,Hughes
02-May-2016,740500,1909,5,2914,Forde
02-May-2016,765100,2007,5,2913,Franklin
02-November-2016,638301,1913,4,2914,Forde
02-November-2016,465200,1967,3,2615,Florey
02-November-2016,490300,1916,3,2902,Kambah
02-November-2016,488500,1986,3,2913,Franklin
02-November-2016,631000,1992,3,2602,Hackett
02-November-2016,682800,1992,3,2607,Mawson
02-November-2016,750100,2013,4,2914,Bonner
02-September-2016,386600,1976,3,2906,Gordon
02-September-2016,427000,1925,3,2902,Kambah
02-September-2016,451900,1988,3,2914,Harrison
02-September-2016,436800,1900,3,2914,Forde
02-September-2016,558900,1978,4,2904,Macarthur
02-September-2016,590600,1999,4,2906,Gordon
02-September-2016,680800,1991,4,2615,Latham
02-September-2016,809700,1990,5,2607,Pearce
02-September-2016,1014800,1950,2,2603,Forrest
03-August-2016,725700,2014,4,2914,Bonner
03-August-2016,338600,2007,2,2912,Administrative
03-August-2016,429000,1977,3,2906,Banks
03-August-2016,489600,1925,3,2902,Kambah
03-August-2016,693100,1926,4,2914,Amaroo
03-August-2016,909000,2001,4,2913,Ginninderra Village
