datesold,price,building_year,bedrooms,postcode,area
01-April-2009,437100,1977,4,2906,Conder
01-April-2009,461300,1969,4,2615,Kippax Centre
01-April-2009,280900,1966,3,2615,Higgins
01-April-2009,351600,1978,3,2620,Tinderry
01-April-2009,431300,2005,3,2914,Bonner
01-April-2010,443150,1985,3,2615,Fraser
01-April-2010,930900,2000,5,2902,Kambah
01-April-2010,425800,1967,3,2611,Duffy
01-April-2010,623900,1988,3,2614,Page
01-April-2010,514500,1921,3,2617,Kaleen
01-April-2010,424200,1952,2,2604,Kingston
01-April-2010,588400,1925,4,2904,Gowrie
01-April-2010,617700,1925,4,2912,Administrative
01-April-2010,362700,1969,3,2906,Gordon
01-April-2011,389100,1972,3,2906,Gordon
01-April-2011,527200,1925,4,2904,Gowrie
01-April-2011,480400,1977,4,2615,Kippax
01-April-2011,408600,1996,3,2913,Ginninderra Village
01-April-2011,560000,1966,4,2906,Conder
01-April-2011,417000,1995,3,2905,Bonython
01-April-2011,882000,1918,4,2605,Curtin
01-April-2014,1050200,1990,5,2611,Uriarra
01-April-2014,438600,1925,3,2902,Kambah
01-April-2014,352200,1979,3,2615,Fraser
01-April-2014,458500,1900,3,2914,Forde
01-April-2014,594300,1951,4,2904,Monash
01-April-2014,497900,1973,3,2611,Waramanga
01-April-2015,761900,1966,4,2614,Scullin
01-April-2015,502600,2007,4,2914,Forde
01-April-2015,710100,1999,4,2607,Pearce
01-April-2015,1592900,2001,4,2600,Fairbairn Raaf
01-April-2015,645900,1953,4,2914,Amaroo
01-April-2015,692900,1996,4,2913,Nicholls
01-April-2015,492200,1992,3,2904,Macarthur
01-April-2015,801600,1969,3,2602,Dickson
01-April-2015,467800,2005,4,2905,Theodore
01-April-2015,473800,1977,3,2602,Lyneham
01-April-2015,689400,1999,4,2602,O'connor
01-April-2015,566300,1980,3,2602,O'connor
01-April-2015,465100,1976,3,2905,Bonython
01-April-2015,805100,1999,4,2602,Hackett
01-April-2015,1004900,1989,4,2902,Kambah
01-April-2015,622600,1988,3,2602,Downer
01-April-2015,630000,1986,4,2913,Ginninderra Village
01-April-2015,730200,1994,3,2602,Ainslie
01-April-2015,652800,1995,3,2602,Lyneham
01-August-2008,592700,1994,3,2601,Acton
01-August-2008,427000,1967,3,2611,Stirling
01-August-2011,447700,1926,4,2617,Belconnen Dc
01-August-2011,683400,1998,4,2602,O'connor
01-August-2012,444000,1925,3,2904,Gowrie
01-August-2012,519500,1987,4,2913,Ginninderra Village
01-August-2012,291700,1947,2,2602,Watson
01-August-2013,890500,1928,4,2902,Kambah
01-August-2013,606800,1992,3,2602,Ainslie
01-August-2013,490400,1977,4,2906,Conder
01-August-2013,568700,1951,4,2617,Belconnen
01-August-2014,403300,1977,3,2615,Melba
01-August-2014,643800,1973,3,2604,Causeway
01-August-2014,482900,1990,4,2913,Ginninderra Village
01-August-2014,464700,1977,3,2905,Isabella Plains
01-August-2014,520400,1972,3,2611,Holder
01-August-2015,922900,1988,4,2600,Russell
01-August-2015,709400,1978,4,2615,Spence
01-August-2015,1298500,1964,5,2603,Red Hill
01-August-2015,503600,1977,4,2615,Holt
01-August-2015,619400,1966,4,2903,Wanniassa
01-August-2015,623100,1978,3,2602,O'connor
01-August-2015,635600,2008,3,2605,Hughes
01-August-2015,453800,1926,3,2617,Lawson
01-August-2015,901000,1925,4,2605,Hughes
01-August-2015,547700,1974,3,2614,Cook
01-August-2015,986500,2001,4,2607,Torrens
01-August-2015,949800,1969,3,2602,O'connor
01-August-2015,596500,1977,4,2611,Chapman
01-August-2015,1205300,1985,4,2600,Harman
01-December-2007,914500,2004,5,2615,Dunlop
01-December-2008,457500,1976,3,2607,Farrer
01-December-2008,329500,1978,3,2905,Bonython
01-December-2008,1049000,2014,4,2605,Curtin
01-December-2009,650600,1910,4,2617,Lawson
01-December-2009,405400,1919,3,2914,Forde
01-December-2010,563200,1954,4,2614,Jamison Centre
01-December-2010,514000,1941,4,2902,Kambah
01-December-2010,609600,1927,4,2605,Hughes
01-December-2010,661800,1994,4,2607,Farrer
01-December-2010,408700,1977,3,2906,Conder
01-December-2010,405500,1983,3,2615,Holt
01-December-2010,482700,1977,3,2902,Kambah
01-December-2010,758700,1998,4,2913,Nicholls
01-December-2011,438100,1969,3,2614,Hawker
01-December-2011,466000,1977,4,2615,Kippax Centre
01-December-2011,630700,1996,5,2615,Charnwood
01-December-2011,478600,1991,4,2615,Spence
01-December-2011,417900,1969,3,2615,Spence
01-December-2012,774200,1972,5,2611,Weston Creek
01-December-2012,800200,1997,4,2607,Mawson
01-December-2012,883600,2001,3,2612,Turner
01-December-2012,437800,1957,3,2614,Scullin
01-December-2012,847000,1998,5,2607,Farrer
01-December-2012,409100,1958,4,2614,Page
01-December-2012,897200,1962,4,2604,Causeway
01-December-2012,364100,1987,2,2611,Holder
01-December-2014,995000,1962,4,2604,Kingston
01-December-2014,401300,1977,3,2615,Latham
01-December-2014,749100,1994,3,2602,Lyneham
01-December-2014,414700,1925,3,2903,Oxley
01-December-2014,551100,1967,5,2913,Ngunnawal
01-December-2014,565100,1996,4,2913,Nicholls
01-December-2014,518000,1959,3,2611,Holder
01-December-2014,697400,1996,4,2913,Palmerston
01-December-2015,486500,1967,5,2614,Jamison Centre
01-December-2015,1152900,1984,4,2604,Causeway
01-December-2015,404000,1973,3,2615,Florey
01-December-2015,367700,2005,3,2913,Ginninderra Village
01-December-2015,638700,1977,4,2611,Pierces Creek
01-December-2015,591800,1977,3,2607,Pearce
01-February-2008,598400,2000,4,2905,Bonython
01-February-2010,385600,1976,3,2615,Latham
01-February-2010,480400,1985,3,2902,Kambah
01-February-2010,577900,1992,3,2607,Isaacs
01-February-2011,414800,1977,3,2905,Theodore
01-February-2012,635200,1959,3,2604,Kingston
01-February-2012,590900,1924,4,2904,Monash
01-February-2013,434400,2008,3,2904,Macarthur
01-February-2013,569900,1990,4,2913,Ngunnawal
01-February-2013,560400,1954,4,2902,Kambah
01-February-2013,472900,1926,3,2914,Forde
01-February-2013,395900,1977,3,2905,Theodore
01-February-2014,660300,1929,4,2912,Administrative
01-February-2014,482100,1977,3,2607,Pearce
01-July-2009,531100,1951,2,2602,Hackett
01-July-2009,762400,1967,3,2600,Yarralumla
01-July-2009,759100,1998,4,2607,Torrens
01-July-2010,431350,1926,3,2902,Kambah
01-July-2010,508800,1926,4,2912,Administrative
01-July-2010,530600,1979,4,2615,Charnwood
01-July-2010,709100,1990,3,2602,Downer
01-July-2011,396800,1976,3,2905,Calwell
01-July-2011,639600,1998,4,2905,Gilmore
01-July-2011,587400,1989,4,2913,Palmerston
01-July-2011,454200,2007,3,2914,Harrison
01-July-2011,435100,1994,3,2617,Giralang
01-July-2013,466700,1926,3,2617,Bruce
01-July-2013,580900,1954,4,2912,Administrative
01-July-2013,542500,1927,4,2912,Administrative
01-July-2013,637400,1994,3,2602,Lyneham
01-July-2013,653700,1981,4,2615,Dunlop
01-July-2013,386800,1996,3,2913,Franklin
01-July-2013,545200,1957,3,2614,Macquarie
01-July-2013,924700,1967,4,2604,Narrabundah
01-July-2014,632200,1990,4,2602,Dickson
01-July-2014,586700,1977,3,2602,Ainslie
01-July-2014,749500,1932,4,2914,Amaroo
01-July-2014,452600,1969,3,2906,Banks
01-July-2014,733500,1994,3,2602,Hackett
01-July-2014,602800,1959,3,2604,Narrabundah
01-July-2015,555400,1954,4,2903,Erindale Centre
01-July-2015,1289400,2003,4,2602,Downer
01-July-2015,583500,1966,5,2615,Latham
01-July-2015,302700,1955,2,2615,Florey
01-July-2015,496326,1988,4,2913,Ngunnawal
01-June-2009,676000,2003,4,2902,Kambah
01-June-2009,449700,1955,3,2903,Oxley
01-June-2009,531700,1927,4,2617,Belconnen
01-June-2010,373000,1955,2,2906,Gordon
01-June-2010,512400,2001,4,2912,Administrative
01-June-2010,561000,1913,4,2914,Harrison
01-June-2010,471000,1925,3,2902,Kambah
01-June-2010,461800,1978,3,2905,Bonython
01-June-2011,381700,1926,3,2913,Franklin
01-June-2011,434800,1988,4,2904,Macarthur
01-June-2011,514900,1978,3,2614,Page
01-June-2011,368200,1976,3,2906,Banks
01-June-2011,356700,1969,3,2615,Florey
01-June-2011,585400,1992,3,2602,Downer
