datesold,price,building_year,bedrooms,postcode,area
01-June-2018,496300,1989,3,2913,Palmerston
01-June-2018,1272000,1925,4,2605,Garran
01-June-2018,764200,1989,4,2914,Forde
01-June-2018,584600,1900,4,2914,Forde
01-June-2018,676900,1977,4,2615,Spence
01-June-2018,660700,1992,3,2607,Torrens
01-June-2018,724400,1966,4,2611,Duffy
01-May-2018,1610600,1988,4,2600,Deakin
01-May-2018,835400,1998,4,2602,Ainslie
01-May-2018,336600,1955,1,2603,Forrest
01-May-2018,654100,1976,4,2902,Kambah
01-May-2018,640400,1957,3,2611,Holder
01-May-2018,607700,1957,3,2611,Weston Creek
01-May-2018,620700,1991,3,2615,Higgins
01-May-2018,528500,2001,3,2617,Kaleen
01-May-2018,515200,1991,3,2615,Fraser
01-May-2018,500000,1976,3,2903,Oxley
01-May-2018,810000,1987,4,2913,Ginninderra Village
02-April-2018,511100,1988,3,2902,Kambah
02-April-2018,1002000,2004,4,2606,Phillip
02-June-2018,949500,2003,5,2607,Pearce
02-June-2018,1062400,1969,3,2602,Ainslie
02-June-2018,1060700,1987,4,2614,Cook
02-June-2018,1038200,2007,5,2914,Amaroo
02-June-2018,921500,1990,5,2607,Mawson
02-June-2018,878500,1969,3,2602,O'connor
02-June-2018,834900,1969,4,2905,Calwell
02-June-2018,849400,1987,5,2906,Conder
02-June-2018,829300,2001,5,2913,Nicholls
02-June-2018,778500,1993,4,2614,Page
02-June-2018,752000,1939,4,2611,Rivett
02-June-2018,736900,1990,3,2607,Pearce
02-June-2018,720700,1935,4,2611,Chapman
02-June-2018,746200,1987,3,2614,Cook
02-June-2018,799500,1996,4,2607,Torrens
02-June-2018,695400,1994,4,2904,Fadden
02-June-2018,651500,1975,3,2611,Brindabella
02-June-2018,613300,1954,4,2902,Kambah
02-June-2018,584500,1989,3,2615,Kippax
02-June-2018,464800,1976,3,2615,Spence
02-June-2018,460300,1926,3,2902,Kambah
02-June-2018,699800,1912,4,2914,Amaroo
02-May-2018,709800,1959,4,2904,Gowrie
02-May-2018,676300,1976,4,2902,Kambah
02-May-2018,616900,2003,3,2914,Amaroo
02-May-2018,590500,1903,3,2914,Bonner
02-May-2018,520900,1994,3,2913,Nicholls
02-May-2018,503300,1993,4,2615,Flynn
02-May-2018,748200,1910,4,2914,Harrison
02-May-2018,762400,1978,4,2611,Stirling
03-April-2018,460100,1946,3,2914,Bonner
03-April-2018,614000,1975,4,2615,Higgins
03-April-2018,905600,2015,4,2914,Bonner
03-April-2018,1472700,2001,5,2913,Ginninderra Village
03-June-2018,629900,1990,3,2913,Nicholls
03-May-2018,705300,2014,4,2906,Gordon
03-May-2018,578100,1924,3,2617,Lawson
03-May-2018,570100,1988,3,2913,Ginninderra Village
03-May-2018,551400,1968,3,2615,Macgregor
03-May-2018,818200,1974,4,2611,Chapman
03-May-2018,481100,1989,3,2913,Franklin
03-May-2018,761400,2013,5,2914,Harrison
03-May-2018,739300,1935,4,2615,Charnwood
03-May-2018,643800,1922,4,2904,Fadden
03-May-2018,673100,1976,4,2906,Conder
03-May-2018,436400,1992,3,2913,Palmerston
04-April-2018,735400,1935,4,2611,Chapman
04-April-2018,439300,1994,3,2905,Bonython
04-April-2018,475700,1926,3,2914,Amaroo
04-April-2018,487300,1967,3,2906,Conder
04-April-2018,504300,1989,3,2913,Ginninderra Village
04-April-2018,562900,1999,4,2902,Kambah
04-April-2018,588800,1978,3,2615,Fraser
04-April-2018,732300,1922,3,2617,Belconnen
04-June-2018,716200,1922,3,2617,Mckellar
04-June-2018,827600,1928,4,2605,Hughes
04-June-2018,855400,1963,2,2602,Lyneham
04-June-2018,541200,1925,3,2902,Kambah
04-June-2018,638200,1966,4,2615,Holt
04-June-2018,694700,1993,4,2906,Banks
04-June-2018,692900,1947,4,2914,Bonner
04-June-2018,722100,1977,5,2906,Conder
04-June-2018,858300,1998,4,2913,Ngunnawal
04-May-2018,434300,1969,3,2906,Gordon
04-May-2018,530600,1987,3,2913,Nicholls
04-May-2018,878900,1986,4,2611,Pierces Creek
04-May-2018,866300,1967,5,2615,Fraser
04-May-2018,832900,1978,3,2614,Weetangera
04-May-2018,780800,1994,3,2602,Watson
04-May-2018,747100,1999,4,2912,Administrative
04-May-2018,899100,1984,3,2602,Lyneham
04-May-2018,605900,1954,4,2902,Kambah
05-April-2018,558400,1989,4,2905,Calwell
05-April-2018,504100,1994,3,2905,Chisholm
05-April-2018,691200,2014,4,2615,Flynn
05-April-2018,708800,1993,5,2617,Bruce
05-April-2018,672400,1978,3,2615,Flynn
05-April-2018,795800,1988,3,2617,Mckellar
05-April-2018,787700,2007,4,2914,Amaroo
05-April-2018,758900,1996,4,2906,Banks
05-April-2018,491600,1968,3,2906,Banks
05-June-2018,1205800,1963,4,2600,Fairbairn Raaf
05-June-2018,985000,1969,3,2602,Ainslie
05-June-2018,789950,1994,3,2602,Lyneham
05-June-2018,736700,2014,4,2902,Kambah
05-June-2018,1351600,1973,5,2913,Ngunnawal
05-June-2018,549800,1991,3,2615,Latham
05-June-2018,546400,1977,3,2905,Chisholm
05-June-2018,499100,2005,3,2914,Amaroo
05-June-2018,474900,2005,2,2603,Red Hill
05-June-2018,367400,2008,2,2914,Amaroo
05-June-2018,712900,1977,4,2615,Florey
05-June-2018,639400,1906,3,2914,Harrison
05-June-2018,981000,2007,4,2913,Franklin
05-May-2018,789600,1976,4,2611,Stirling
05-May-2018,921800,1988,3,2604,Causeway
05-May-2018,938400,2014,4,2902,Kambah
05-May-2018,1070200,1996,4,2911,Crace
05-May-2018,1139200,1925,4,2605,Hughes
05-May-2018,1151700,2014,5,2606,Lyons
05-May-2018,1172600,2014,4,2605,Hughes
05-May-2018,818000,1929,4,2617,Mckellar
05-May-2018,819300,1978,3,2913,Franklin
05-May-2018,791100,1976,4,2614,Scullin
05-May-2018,1220000,2000,2,2612,Campbell
05-May-2018,790100,1994,3,2606,Woden
05-May-2018,768100,1994,3,2602,O'connor
05-May-2018,697800,1941,3,2617,Evatt
05-May-2018,691200,1978,3,2615,Higgins
05-May-2018,837000,1984,3,2602,Ainslie
05-May-2018,674100,2004,4,2602,Downer
05-May-2018,649700,1990,3,2913,Palmerston
05-May-2018,619300,1978,3,2615,Dunlop
05-May-2018,543200,2014,3,2617,Bruce
05-May-2018,455500,1976,3,2905,Calwell
05-May-2018,674600,1988,4,2913,Ginninderra Village
05-May-2018,893300,1997,3,2614,Aranda
06-April-2018,1263200,1976,3,2600,Harman
06-April-2018,1149300,2007,5,2913,Franklin
06-April-2018,1009500,2004,4,2602,O'connor
06-April-2018,950600,1967,4,2617,Mckellar
06-April-2018,905700,1977,5,2611,Weston
06-April-2018,661100,1990,4,2611,Mount Stromlo
06-April-2018,637700,1968,4,2902,Kambah
06-April-2018,651200,1988,3,2614,Hawker
06-April-2018,609200,1927,3,2617,Belconnen
06-April-2018,520000,1987,3,2903,Wanniassa
06-June-2018,908400,1969,3,2602,Ainslie
06-June-2018,995500,1923,5,2914,Forde
06-June-2018,841300,1998,4,2607,Mawson
06-June-2018,790200,1976,4,2605,Garran
06-June-2018,744100,1963,2,2602,Hackett
06-June-2018,752300,1979,3,2617,Giralang
06-June-2018,727500,1991,4,2905,Theodore
06-June-2018,407100,1976,3,2906,Banks
06-June-2018,1496200,1927,3,2612,Turner
06-May-2018,872000,2002,5,2903,Oxley
06-May-2018,832600,2014,5,2903,Erindale Centre
07-April-2018,774300,2003,4,2913,Ngunnawal
07-April-2018,785200,1992,3,2611,Uriarra
07-April-2018,754700,1954,4,2902,Kambah
07-April-2018,710100,1968,5,2614,Hawker
07-April-2018,696900,1996,3,2614,Cook
07-April-2018,627000,1988,3,2611,Fisher
07-April-2018,625400,2014,4,2905,Gilmore
07-April-2018,579700,1977,4,2615,Fraser
07-April-2018,547500,1991,3,2615,Macgregor
07-April-2018,839800,1960,4,2611,Mount Stromlo
07-April-2018,811600,1976,4,2614,Page
07-April-2018,514400,2005,3,2617,Evatt
07-April-2018,538400,1957,3,2611,Uriarra
07-April-2018,1630000,2004,4,2603,Forrest
07-April-2018,860800,1977,3,2614,Weetangera
07-April-2018,1327200,1963,5,2617,Belconnen
