datesold,price,building_year,bedrooms,postcode,area
01-April-2009,376800,1984,3,2620,Tinderry
01-April-2009,445100,1992,3,2914,Bonner
01-April-2009,465100,1991,4,2615,Kippax Centre
01-April-2009,413800,1976,4,2906,Conder
01-April-2009,584000,1992,3,2602,Watson
01-April-2010,420300,1960,2,2604,Kingston
01-April-2010,434350,1969,3,2906,Banks
01-April-2010,503900,1924,3,2617,Kaleen
01-April-2010,489300,1991,3,2905,Theodore
01-April-2010,576100,1926,4,2904,Gowrie
01-April-2010,443650,1969,3,2615,Fraser
01-April-2010,344700,1976,3,2906,Gordon
01-April-2010,952400,1939,5,2902,Kambah
01-April-2010,617900,1973,3,2614,Page
01-April-2011,414500,1972,3,2906,Gordon
01-April-2011,413800,1996,3,2913,Ginninderra Village
01-April-2011,519300,1916,4,2904,Gowrie
01-April-2011,880900,2007,4,2605,Curtin
01-April-2011,806000,1963,3,2603,Red Hill
01-April-2011,423600,1978,3,2905,Bonython
01-April-2011,580300,1966,4,2906,Conder
01-April-2014,446200,1927,3,2902,Kambah
01-April-2014,558700,1922,4,2904,Monash
01-April-2014,337800,1968,3,2615,Fraser
01-April-2014,947000,1977,5,2913,Nicholls
01-April-2014,1059900,2006,5,2611,Uriarra
01-April-2015,754000,1966,5,2614,Page
01-April-2015,476900,1926,4,2914,Forde
01-April-2015,717100,1998,4,2607,Pearce
01-April-2015,699800,1988,4,2602,O'connor
01-April-2015,959800,2004,4,2602,Watson
01-April-2015,460900,1969,3,2905,Bonython
01-April-2015,827600,1999,4,2602,Hackett
01-April-2015,574600,1976,3,2602,O'connor
01-April-2015,483200,2005,4,2905,Theodore
01-April-2015,693800,2014,4,2913,Nicholls
01-April-2015,461900,1978,3,2602,Lyneham
01-April-2015,479100,1994,3,2904,Macarthur
01-April-2015,644900,1990,3,2602,Lyneham
01-April-2015,1011800,2007,4,2902,Kambah
01-April-2015,1596800,2003,4,2600,Fairbairn Raaf
01-April-2015,644900,1927,4,2914,Amaroo
01-April-2015,592100,1992,3,2602,Downer
01-April-2015,631800,1986,4,2913,Ginninderra Village
01-April-2015,828600,1984,3,2602,Dickson
01-April-2015,725200,1990,3,2602,Ainslie
